                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.69117,                 0.6853,                 1.1027,                0.58902,                0.54996,                0.57002,                0.41395,                 1.2023,                 1.6054,                 1.6106,             0.00044296,             0.00044296,             0.00044296
                     57,                0.67631,                0.66584,                 1.1069,                0.59342,                0.60801,                0.58721,                 0.4238,                 1.2188,                 1.6077,                  1.586,             0.00042756,             0.00042756,             0.00042756
                     58,                0.66642,                0.64282,                 1.0872,                0.63933,                0.57203,                 0.5642,                0.41371,                 1.1922,                  1.658,                 1.5961,             0.00041225,             0.00041225,             0.00041225
                     59,                0.65992,                0.63547,                 1.0867,                0.65401,                0.56776,                0.57576,                0.40471,                 1.2082,                 1.6299,                 1.6052,             0.00039702,             0.00039702,             0.00039702
                     60,                0.66444,                0.63704,                 1.0902,                0.66146,                 0.5226,                0.55403,                0.40216,                 1.2333,                  1.725,                 1.6188,              0.0003819,              0.0003819,              0.0003819
                     61,                0.65769,                0.62183,                 1.0771,                0.63571,                0.55606,                0.57342,                 0.4245,                 1.2335,                 1.6249,                 1.6133,              0.0003669,              0.0003669,              0.0003669
                     62,                0.65281,                0.61911,                 1.0684,                0.55287,                0.61255,                0.57416,                 0.4265,                 1.1928,                 1.5714,                 1.5899,             0.00035204,             0.00035204,             0.00035204
                     63,                0.63032,                0.60229,                 1.0746,                0.64816,                0.52264,                 0.5672,                0.41428,                   1.19,                 1.7223,                 1.5861,             0.00033732,             0.00033732,             0.00033732
                     64,                0.63486,                0.60925,                  1.074,                0.67895,                0.53094,                0.56983,                0.41872,                 1.1985,                 1.6411,                 1.5817,             0.00032278,             0.00032278,             0.00032278
                     65,                0.62251,                0.59167,                 1.0558,                 0.6033,                0.50818,                0.56851,                0.41036,                 1.2094,                 1.6706,                 1.5886,             0.00030841,             0.00030841,             0.00030841
                     66,                0.62494,                0.57462,                 1.0619,                0.59987,                0.60738,                0.59846,                0.42702,                 1.1841,                 1.5393,                 1.5612,             0.00029424,             0.00029424,             0.00029424
                     67,                0.63556,                0.58735,                 1.0623,                0.71898,                0.48711,                0.57749,                0.43204,                 1.1848,                  1.533,                 1.5803,             0.00028027,             0.00028027,             0.00028027
                     68,                0.59682,                0.56071,                 1.0489,                0.58024,                0.59758,                0.58776,                0.42591,                 1.1871,                 1.6268,                 1.5899,             0.00026653,             0.00026653,             0.00026653
                     69,                0.60322,                0.56254,                 1.0518,                0.56128,                0.56939,                 0.5718,                0.42139,                 1.1855,                 1.6434,                 1.6136,             0.00025302,             0.00025302,             0.00025302
                     70,                0.59327,                0.55594,                 1.0365,                0.55743,                0.58276,                0.56967,                0.41539,                 1.1928,                 1.6922,                 1.6221,             0.00023977,             0.00023977,             0.00023977
                     71,                0.59009,                0.53201,                 1.0426,                0.70088,                 0.5094,                0.55851,                0.41042,                 1.1806,                 1.6587,                 1.5987,             0.00022677,             0.00022677,             0.00022677
                     72,                0.58889,                0.54599,                 1.0481,                0.62631,                0.52681,                0.56516,                0.40689,                 1.2288,                 1.6676,                 1.6407,             0.00021405,             0.00021405,             0.00021405
                     73,                0.57137,                 0.5358,                 1.0352,                0.63924,                0.53703,                0.56804,                0.41957,                  1.208,                 1.7003,                  1.596,             0.00020161,             0.00020161,             0.00020161
                     74,                0.57106,                0.53477,                  1.035,                0.67464,                0.52142,                0.56222,                0.42261,                 1.1725,                 1.6837,                 1.5749,             0.00018948,             0.00018948,             0.00018948
                     75,                0.57958,                0.53151,                   1.04,                0.64621,                 0.5424,                0.58214,                0.43805,                  1.161,                 1.6338,                  1.562,             0.00017765,             0.00017765,             0.00017765
                     76,                0.57045,                0.53928,                 1.0366,                0.62908,                0.55869,                0.57975,                0.43215,                 1.1884,                 1.6157,                 1.6126,             0.00016615,             0.00016615,             0.00016615
                     77,                0.55138,                0.50293,                 1.0296,                0.64566,                 0.5706,                0.60226,                0.44163,                 1.2018,                 1.6168,                 1.6178,             0.00015498,             0.00015498,             0.00015498
                     78,                0.55355,                0.50985,                 1.0247,                0.75062,                0.52297,                0.60041,                0.44179,                 1.2204,                 1.5508,                   1.62,             0.00014416,             0.00014416,             0.00014416
                     79,                0.56829,                0.51773,                 1.0383,                0.71816,                0.56775,                0.59582,                0.43955,                 1.1921,                 1.5674,                 1.6132,              0.0001337,              0.0001337,              0.0001337
                     80,                0.55347,                0.50292,                 1.0254,                0.67966,                 0.5771,                0.59565,                0.44086,                 1.1732,                 1.5922,                 1.5767,              0.0001236,              0.0001236,              0.0001236
                     81,                0.56567,                0.51183,                  1.033,                0.62136,                0.56398,                0.58801,                0.43943,                 1.1909,                 1.6361,                 1.5922,             0.00011387,             0.00011387,             0.00011387
                     82,                0.54474,                0.49949,                 1.0301,                 0.7123,                0.49988,                0.57996,                0.42833,                 1.2179,                 1.6373,                 1.6422,             0.00010454,             0.00010454,             0.00010454
                     83,                0.54122,                0.49787,                 1.0178,                0.54101,                0.61323,                0.59287,                0.44425,                 1.1961,                 1.6048,                 1.6179,             9.5595e-05,             9.5595e-05,             9.5595e-05
                     84,                0.53413,                0.48738,                 1.0155,                0.56821,                0.62309,                0.59097,                0.44387,                 1.1723,                 1.5827,                 1.5936,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     85,                 0.5332,                0.48281,                 1.0121,                 0.6189,                 0.5846,                0.58398,                0.43451,                 1.1831,                  1.592,                 1.6102,             7.8933e-05,             7.8933e-05,             7.8933e-05
                     86,                0.53284,                0.48049,                 1.0111,                0.57169,                0.57704,                0.57586,                0.43015,                 1.1796,                 1.6182,                 1.5976,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     87,                0.52674,                0.47292,                 1.0224,                 0.6205,                0.55519,                0.58411,                 0.4367,                 1.1814,                  1.619,                 1.6078,             6.3952e-05,             6.3952e-05,             6.3952e-05
                     88,                0.53246,                0.48758,                 1.0091,                0.61621,                0.55994,                0.58934,                0.44129,                 1.1843,                 1.5897,                 1.6228,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     89,                0.51121,                0.48006,                 1.0052,                0.76212,                0.50169,                0.59744,                 0.4435,                 1.1878,                 1.5811,                 1.6222,             5.0711e-05,             5.0711e-05,             5.0711e-05
                     90,                0.51341,                0.46651,                0.99979,                0.76221,                 0.4936,                0.59952,                0.44643,                 1.1923,                 1.5718,                 1.6276,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     91,                0.46456,                0.40529,                0.96054,                0.68508,                0.54593,                0.57334,                0.42149,                 1.1993,                 1.5689,                 1.6304,             3.9264e-05,             3.9264e-05,             3.9264e-05
                     92,                0.44537,                0.37086,                 0.9426,                0.69299,                0.55165,                0.57632,                0.42842,                 1.1783,                 1.6054,                 1.6022,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     93,                0.45511,                0.37542,                0.96063,                0.67851,                0.54648,                 0.5821,                0.43983,                 1.1527,                 1.5536,                 1.5913,             2.9655e-05,             2.9655e-05,             2.9655e-05
                     94,                0.45028,                0.37403,                0.94291,                0.68668,                0.55847,                0.58734,                0.44469,                  1.164,                 1.5403,                 1.6067,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     95,                0.44518,                0.36711,                0.94131,                0.67432,                 0.5558,                0.58973,                0.44538,                 1.1586,                 1.5237,                 1.6011,             2.1921e-05,             2.1921e-05,             2.1921e-05
                     96,                0.44106,                 0.3566,                0.94003,                0.71631,                0.54818,                0.59338,                0.44794,                 1.1647,                  1.528,                  1.602,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     97,                0.43773,                0.35735,                0.94079,                0.70336,                0.53901,                0.59148,                0.44642,                 1.1697,                   1.53,                 1.6058,             1.6094e-05,             1.6094e-05,             1.6094e-05
                     98,                0.42898,                0.34251,                0.93431,                0.69204,                0.54521,                0.58735,                0.44689,                  1.172,                 1.5477,                 1.6078,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     99,                 0.4361,                0.35713,                0.94409,                0.67571,                0.54487,                0.58872,                0.44456,                 1.1696,                 1.5608,                 1.6016,             1.2197e-05,             1.2197e-05,             1.2197e-05
                    100,                0.42986,                0.34198,                0.93845,                0.67452,                0.54564,                0.58908,                0.44441,                 1.1664,                 1.5564,                 1.5981,             1.0977e-05,             1.0977e-05,             1.0977e-05
